X;time;peak;backend
[4, 1, 4, 1, 2, 128, 8];0.0010336809209547937;0.4830522597831152;jir
[4, 1, 4, 1, 2, 128, 8];0.0018129102536477149;0.2754256057392972;mlir
[4, 1, 4, 1, 2, 128, 8];0.0012044117756886408;0.41457740188268244;tvm
[32, 1, 1, 2, 2, 8, 8];0.003967019030824304;0.12586829074478906;jir
[32, 1, 1, 2, 2, 8, 8];0.00398565677460283;0.1252797049519303;mlir
[32, 1, 1, 2, 2, 8, 8];0.00396367913344875;0.12597435058459203;tvm
[1, 32, 2, 16, 4, 1, 128];0.012623764807358384;0.039554119740162645;jir
[1, 32, 2, 16, 4, 1, 128];0.05755462311208248;0.008675617661321838;mlir
[1, 32, 2, 16, 4, 1, 128];0.03525654226541519;0.014162531906928184;tvm
[16, 1, 1, 8, 8, 2, 2];0.00975447881501168;0.05118898858988469;jir
[16, 1, 1, 8, 8, 2, 2];0.01199609600007534;0.041623700307063964;mlir
[16, 1, 1, 8, 8, 2, 2];0.009763355017639697;0.051142450915670636;tvm
[2, 32, 4, 16, 4, 4, 16];0.0038304399349726737;0.13035628106395747;jir
[2, 32, 4, 16, 4, 4, 16];0.0038600650150328875;0.12935582763951206;mlir
[2, 32, 4, 16, 4, 4, 16];0.0038242386654019356;0.1305676628603997;tvm
[1, 16, 2, 16, 4, 2, 32];0.011504586786031723;0.0434019851428437;jir
[1, 16, 2, 16, 4, 2, 32];0.01184324745554477;0.042160894352345255;mlir
[1, 16, 2, 16, 4, 2, 32];0.0120407521026209;0.04146932853581611;tvm
[16, 4, 2, 32, 2, 2, 16];0.009368052706122398;0.053300501227493934;jir
[16, 4, 2, 32, 2, 2, 16];0.009253236697986722;0.053961864486893;mlir
[16, 4, 2, 32, 2, 2, 16];0.01098572218324989;0.04545189623702928;tvm
[2, 4, 2, 2, 16, 8, 4];0.0014146366156637669;0.35296831655076033;jir
[2, 4, 2, 2, 16, 8, 4];0.0014118105173110962;0.3536748725409005;mlir
[2, 4, 2, 2, 16, 8, 4];0.0013919280609115958;0.35872680405256785;tvm
[2, 1, 8, 2, 1, 4, 1];0.002893259807024151;0.1725810808796601;jir
[2, 1, 8, 2, 1, 4, 1];0.0028727175085805357;0.17381517788312895;mlir
[2, 1, 8, 2, 1, 4, 1];0.0029076346836518496;0.17172786786776817;tvm
[64, 1, 2, 2, 8, 1, 128];0.003999019740149379;0.12486107526522316;jir
[64, 1, 2, 2, 8, 1, 128];0.05360105447471142;0.009315523913759591;mlir
[64, 1, 2, 2, 8, 1, 128];0.03157926071435213;0.015811703423917495;tvm
[1, 4, 1, 1, 4, 32, 4];0.0012773318303516135;0.39091009313097247;jir
[1, 4, 1, 1, 4, 32, 4];0.001233872928423807;0.40467854773323886;mlir
[1, 4, 1, 1, 4, 32, 4];0.0012364295980660245;0.4038417598081806;tvm
[1, 32, 8, 1, 2, 1, 2];0.07666970230638981;0.006512636540135493;jir
[1, 32, 8, 1, 2, 1, 2];0.044668621849268675;0.011178359306603049;mlir
[1, 32, 8, 1, 2, 1, 2];0.08329903613775969;0.005994329921610711;tvm
[2, 8, 16, 16, 1, 8, 8];0.002586310700280592;0.19306338743745396;jir
[2, 8, 16, 16, 1, 8, 8];0.002546972915297374;0.19604523540981825;mlir
[2, 8, 16, 16, 1, 8, 8];0.0026085001591127366;0.19142107506397305;tvm
[2, 2, 4, 32, 2, 2, 64];0.012285912991501391;0.04064182329040615;jir
[2, 2, 4, 32, 2, 2, 64];0.015688773011788726;0.031826702087327574;mlir
[2, 2, 4, 32, 2, 2, 64];0.013036251999437809;0.038302566165753636;tvm
[32, 1, 8, 2, 8, 16, 128];0.003938082605600357;0.1267931515839251;jir
[32, 1, 8, 2, 8, 16, 128];0.003931242448743433;0.12701376505575385;mlir
[32, 1, 8, 2, 8, 16, 128];0.003955893917009234;0.126222268654617;tvm
[8, 8, 4, 256, 1, 1, 32];0.030880115926265717;0.01616969009942078;jir
[8, 8, 4, 256, 1, 1, 32];0.032186368480324745;0.015513458906280031;mlir
[8, 8, 4, 256, 1, 1, 32];0.02855636039748788;0.017485488269920784;tvm
[128, 1, 1, 4, 1, 16, 8];0.0038740300806239247;0.1288895270223321;jir
[128, 1, 1, 4, 1, 16, 8];0.0038825302035547793;0.12860734587582448;mlir
[128, 1, 1, 4, 1, 16, 8];0.00387339637381956;0.12891061398643355;tvm
