X;Y;X_fit_1;X_fit_2
[1, 2, 2, 2];0.016204631034033298;[0.05020857538161756];[0.05020857538161749, -0.08079698221553978]
[2, 8, 8, 3];0.12743640860585637;[0.08760568189508373];[0.08760568189508115, -0.02925294198990512]
[2, 8, 256, 1];0.06776199005532232;[2.121934461444338];[2.1219344614443614, -1.194335403801628]
[2, 64, 1, 5];0.3539433272249797;[0.04464004233578121];[0.04464004233576292, 0.8136784509329735]
[8, 16, 4, 3];0.1375076083093989;[-0.0233566895283135];[-0.023356689528317064, 0.06290482503474934]
[2, 16, 4, 5];0.23831821197680467;[0.056858917504969145];[0.0568589175049606, 0.10525956788505311]
[8, 8, 4, 4];0.33728231800793274;[-0.025421679647055377];[-0.02542167964705929, -0.05281603223033506]
[64, 4, 1, 1];0.04731860236418355;[-0.7997419895653628];[-0.7997419895653513, -0.49189365467494156]
[16, 8, 8, 3];0.04019270205869642;[-0.09956406784923857];[-0.09956406784923887, -0.128080675307269]
[8, 1, 8, 3];0.0435537137679701;[0.0055832085079028865];[0.005583208507902661, -0.17286343494715484]
[32, 2, 2, 4];0.03736101813937252;[-0.36423872762366577];[-0.364238727623665, -0.29962982027541235]
[64, 8, 2, 3];0.0032498402796803543;[-0.7905065558787749];[-0.7905065558787682, -0.43873113919486]
[8, 2, 128, 4];0.08158730672261105;[0.9901939675385155];[0.990193967538524, -0.7221479060850093]
[2, 2, 16, 3];0.020918012752545224;[0.1516804483237446];[0.15168044832374397, -0.15362689015845304]
[1, 8, 1, 2];0.06441289886316368;[0.04355437934345982];[0.04355437934345849, 0.010691573885741898]
[8, 32, 32, 4];0.7547566436741275;[0.21045557227118544];[0.21045557227117936, 0.1628049712958603]
[64, 16, 1, 2];0.003169773436920672;[-0.7966445043872478];[-0.7966445043872409, -0.31831236877730906]
[2, 32, 1, 4];0.473149590347154;[0.03638008186080953];[0.03638008186079955, 0.3507950218726239]
[32, 2, 1, 5];0.018669137334108427;[-0.37244166625087954];[-0.3724416662508808, -0.29493190712294337]
[1, 2, 16, 2];0.016347708954592845;[0.16504971616262393];[0.16504971616262512, -0.14656776635007224]
[8, 1, 2, 3];0.0426666056135133;[-0.043634423255385545];[-0.0436344232553863, -0.14467595603235528]
[2, 128, 4, 4];0.644258319962074;[0.08576877916736612];[0.0857687791673372, 1.7253515695962658]
[2, 4, 128, 5];0.06359246174710043;[1.070925822101483];[1.0709258221014881, -0.6508629489184365]
[8, 64, 1, 5];0.2912536120346299;[-0.03557556469749982];[-0.03557556469751724, 0.7713237080826748]
[8, 1, 1, 4];0.042085314005322665;[-0.05183736188259941];[-0.05183736188260227, -0.13997804287988622]
[4, 8, 256, 4];0.2049726199191953;[2.09519592576658];[2.0951959257665984, -1.2084536514183872]
[32, 4, 1, 4];0.0997264753831174;[-0.37192541872119483];[-0.3719254187211946, -0.266001692806674]
[16, 2, 4, 1];0.08438922320267478;[-0.13392456494715635];[-0.13392456494715183, -0.19607966564622253]
[16, 2, 4, 0];0.0276097675213713;[-0.1339245649471572];[-0.13392456494715066, -0.19607966564622475]
[1, 128, 1, 1];0.33894771280585073;[0.07452923112459967];[0.07452923112457625, 1.7465044328620412]
[2, 1, 16, 2];0.015712746857060374;[0.1514223245589009];[0.15142232455890242, -0.16809199731659127]
[1, 2, 4, 1];0.016136553422721862;[0.06661445263604611];[0.06661445263604826, -0.0901928085204754]
[8, 1, 4, 1];0.0375539164062204;[-0.027228546000957844];[-0.02722854600095438, -0.15407178233729324]
[2, 2, 32, 0];0.021640666432984224;[0.28292746635917787];[0.28292746635918464, -0.2287935005979259]
[2, 16, 512, 1];0.12128228884803088;[4.223951740130053];[4.2239517401301, -2.281280313567992]
[1, 4, 2, 1];0.03233857195956935;[0.05072482291130236];[0.05072482291130388, -0.0518667678992705]
[4, 128, 2, 3];0.03142729669330786;[0.04262436623517557];[0.042624366235148925, 1.7206291482844307]
[2, 64, 2, 2];0.3773649171799139;[0.05284298096299326];[0.05284298096298106, 0.8089805377804997]
[4, 64, 1, 2];0.395556784094423;[0.01790150665801819];[0.017901506658006217, 0.7995602033162001]
[2, 64, 2, 4];0.5778111716564522;[0.05284298096299508];[0.05284298096297881, 0.8089805377805046]
[16, 2, 2, 4];0.08992968324918535;[-0.15033044220158318];[-0.15033044220158484, -0.18668383934128216]
[4, 2, 64, 4];0.06130577047212575;[0.5186829667522926];[0.5186829667522947, -0.3932449690936139]
[4, 8, 1, 1];0.24693784040710628;[0.003446575826818477];[0.003446575826819584, -0.010485797539409819]
